,distance,width,movement_time
2761,75,8,994
5522,120,20,436
3602,75,6,910
5830,75,14,760
1491,210,8,1025
5145,210,8,750
1144,160,14,1113
2985,120,20,834
6066,75,20,536
4398,40,8,577
3346,210,18,774
1725,40,8,469
2935,210,10,720
3059,75,14,741
1453,120,20,820
3860,210,10,1008
1390,40,14,636
5834,75,14,553
1195,60,6,696
2395,40,8,581
5383,40,20,344
645,40,14,689
1976,160,10,1018
5967,75,6,1246
805,160,14,979
4303,60,18,607
2047,210,14,1030
2672,210,6,1210
3332,210,8,1167
5628,60,14,423
546,120,14,784
4161,160,8,886
836,60,20,593
1173,75,14,594
1641,40,6,474
2897,60,20,657
3234,40,6,1254
875,120,8,1114
5863,40,20,528
3956,40,10,720
506,40,18,712
2846,60,6,737
2707,60,6,845
1559,120,10,1145
883,120,8,1139
4583,210,8,1033
1033,75,8,768
1007,210,6,978
102,75,6,873
1319,60,8,535
2348,75,8,697
583,120,6,862
5905,210,14,887
4017,75,14,454
2603,75,6,960
5576,210,10,729
5204,160,14,578
4132,75,20,482
1910,75,20,327
4531,75,8,753
4973,210,20,617
5206,160,14,744
5417,160,10,713
2816,210,18,930
4751,75,8,600
3728,60,14,793
2169,210,6,934
1768,60,14,411
912,40,20,430
2718,60,8,710
3675,75,14,591
3232,160,14,1014
4219,210,18,624
2347,60,14,464
3899,60,20,569
1048,40,10,465
3996,40,8,609
2442,75,18,606
5856,160,6,1440
3606,75,6,918
2046,210,14,960
3599,75,6,872
1626,75,8,614
863,160,10,1151
5747,40,8,368
4769,120,20,569
210,210,6,984
2817,210,18,1121
3380,160,20,651
6081,60,10,616
1446,120,20,649
1316,60,8,545
72,60,14,608
2100,75,6,775
5783,60,8,466
5432,60,10,539
2325,120,18,463
4078,210,20,665
358,210,10,1063
1960,75,14,696
21,75,14,634
572,120,8,911
5140,160,18,513
2176,40,18,386
4933,60,20,393
1667,210,20,751
5176,40,10,408
5287,75,14,409
4100,60,18,478
3222,160,6,1224
3056,75,20,529
192,160,8,952
3105,75,18,335
2221,75,10,569
3735,60,14,594
3025,40,20,416
5437,60,10,374
4434,210,20,626
2911,60,10,687
5258,60,20,353
3651,40,18,608
6057,210,6,1721
1731,60,18,417
654,210,14,795
1970,75,14,437
2479,40,10,499
5324,40,14,432
3727,120,8,793
4106,40,20,395
3378,160,20,576
3434,75,8,609
5412,160,10,872
978,210,8,1296
3391,120,20,505
5453,210,14,672
3807,40,14,485
5198,40,8,415
2838,120,18,786
2214,60,10,391
1488,210,8,975
3545,120,6,1312
2499,60,10,562
3205,60,18,478
1711,40,14,400
5210,40,6,545
3885,210,6,889
5687,120,10,512
4466,75,20,415
1561,120,10,727
4166,160,8,814
5797,210,8,730
137,120,18,610
1530,120,10,797
2843,60,6,917
