,distance,width,movement_time
536,600,40,579
388,300,30,403
53,300,50,256
313,700,50,660
383,300,30,430
516,400,20,677
297,700,50,617
444,300,25,463
644,200,80,99
518,400,20,683
588,400,80,296
43,300,50,253
411,200,50,216
360,500,50,487
547,600,40,520
472,700,40,710
416,700,30,870
105,200,25,309
693,300,40,370
312,700,50,699
116,200,25,393
698,300,40,230
72,500,80,337
173,500,25,926
219,300,80,310
205,700,80,643
393,300,30,430
344,500,30,656
174,500,25,832
99,200,25,287
228,300,80,224
246,200,30,190
532,400,20,620
368,500,50,457
190,300,20,683
497,600,25,1046
2,400,40,290
109,200,25,353
18,400,40,247
433,700,30,827
457,700,40,830
330,600,30,637
327,600,30,790
40,300,50,267
509,600,25,733
356,500,50,446
256,600,20,1167
406,200,50,163
615,400,50,280
471,700,40,673
512,600,25,680
647,200,80,120
351,500,30,683
494,400,30,577
218,300,80,323
138,200,40,297
104,200,25,362
192,300,20,637
288,500,20,856
191,300,20,686
200,700,80,587
582,400,80,287
431,700,30,773
600,700,20,1354
609,700,20,1321
242,200,30,253
379,300,30,427
271,600,20,973
591,400,80,273
373,500,50,434
323,600,30,823
203,700,80,590
663,200,20,260
126,600,80,510
584,400,80,267
587,400,80,227
704,300,40,229
253,200,30,307
166,500,25,816
33,500,40,393
273,600,20,1083
103,200,25,343
397,200,50,194
620,400,50,300
687,700,25,1043
56,300,50,220
106,200,25,363
291,500,20,823
161,500,25,930
235,300,80,243
172,500,25,907
439,300,25,400
483,400,30,429
689,700,25,949
309,700,50,683
646,200,80,86
112,200,25,290
346,500,30,634
597,700,20,1724
629,400,50,294
234,300,80,202
391,300,30,419
539,600,40,549
666,200,20,313
215,700,80,510
276,500,20,1032
616,400,50,361
184,300,20,707
665,200,20,323
389,300,30,440
307,700,50,713
244,200,30,173
627,400,50,300
480,400,30,496
294,500,20,789
465,700,40,626
12,400,40,236
168,500,25,867
147,200,40,283
700,300,40,297
94,400,25,610
531,400,20,523
50,300,50,253
476,400,30,593
560,600,50,563
189,300,20,633
343,500,30,637
487,400,30,580
573,600,50,490
448,300,25,374
482,400,30,486
491,400,30,490
270,600,20,1004
316,600,30,950
0,400,40,333
370,500,50,431
238,200,30,203
13,400,40,230
14,400,40,313
511,600,25,893
299,700,50,696
676,700,25,1207
681,700,25,987
69,500,80,456
251,200,30,267
129,600,80,426
160,500,25,796
220,300,80,271
61,500,80,439
701,300,40,234
1,400,40,269
275,500,20,883
402,200,50,197
89,400,25,590
24,500,40,313
248,200,30,239
451,300,25,436
527,400,20,536
501,600,25,910
354,500,30,580
398,200,50,207
599,700,20,1449
47,300,50,277
127,600,80,420
548,600,40,563
76,500,80,400
65,500,80,296
555,600,50,590
456,700,40,657
392,300,30,420
552,600,40,514
321,600,30,893
464,700,40,633
123,600,80,403
54,300,50,256
412,200,50,150
34,500,40,446
473,700,40,827
592,400,80,334
415,700,30,912
601,700,20,1270
331,600,30,752
227,300,80,222
567,600,50,560
310,700,50,727
357,500,50,443
285,500,20,800
179,300,20,724
419,700,30,865
59,300,50,226
453,300,25,319
135,600,80,463
118,600,80,474
305,700,50,737
508,600,25,787
675,700,25,1193
580,400,80,296
481,400,30,480
92,400,25,630
286,500,20,823
137,200,40,253
86,400,25,587
278,500,20,963
522,400,20,683
231,300,80,240
618,400,50,293
426,700,30,907
239,200,30,253
141,200,40,246
236,200,30,290
449,300,25,413
578,400,80,270
447,300,25,400
454,300,25,390
376,300,30,419
696,300,40,293
84,400,25,644
565,600,50,534
385,300,30,424
125,600,80,476
17,400,40,257
413,200,50,147
329,600,30,767
626,400,50,253
371,500,50,390
405,200,50,240
645,200,80,176
165,500,25,963
139,200,40,280
617,400,50,233
206,700,80,587
583,400,80,363
408,200,50,174
121,600,80,460
9,400,40,269
519,400,20,591
557,600,50,630
513,600,25,843
364,500,50,513
301,700,50,670
185,300,20,623
52,300,50,250
210,700,80,613
682,700,25,1127
375,300,30,416
82,400,25,690
197,700,80,610
470,700,40,630
153,200,40,217
430,700,30,930
119,600,80,416
678,700,25,1213
249,200,30,266
208,700,80,636
579,400,80,323
367,500,50,471
598,700,20,1720
162,500,25,931
708,300,40,229
44,300,50,260
269,600,20,1066
5,400,40,303
623,400,50,247
101,200,25,307
658,200,20,311
619,400,50,183
422,700,30,977
324,600,30,774
152,200,40,261
252,200,30,200
577,400,80,290
279,500,20,874
498,600,25,933
63,500,80,385
41,300,50,297
79,400,25,613
369,500,50,550
677,700,25,1020
401,200,50,226
292,500,20,790
432,700,30,920
131,600,80,403
46,300,50,223
64,500,80,379
37,500,40,357
510,600,25,840
355,500,50,530
175,500,25,910
35,500,40,380
302,700,50,680
149,200,40,270
237,200,30,257
306,700,50,643
204,700,80,646
326,600,30,650
110,200,25,350
67,500,80,270
544,600,40,543
630,400,50,241
699,300,40,256
81,400,25,540
328,600,30,696
632,400,50,266
612,700,20,1203
142,200,40,240
610,700,20,1432
75,500,80,430
120,600,80,454
462,700,40,603
224,300,80,204
417,700,30,953
575,400,80,280
57,300,50,261
585,400,80,253
635,200,80,160
150,200,40,233
31,500,40,317
537,600,40,537
320,600,30,763
159,500,25,977
122,600,80,456
39,500,40,376
128,600,80,509
475,400,30,530
345,500,30,623
648,200,80,104
506,600,25,853
177,300,20,756
507,600,25,963
232,300,80,240
390,300,30,416
484,400,30,495
633,200,80,140
569,600,50,548
679,700,25,1088
533,400,20,565
133,600,80,453
178,300,20,710
261,600,20,1024
176,300,20,632
564,600,50,516
489,400,30,443
477,400,30,523
281,500,20,896
418,700,30,845
474,700,40,697
571,600,50,476
259,600,20,1099
277,500,20,963
341,500,30,643
526,400,20,607
655,200,20,296
283,500,20,913
425,700,30,963
705,300,40,243
362,500,50,476
694,300,40,307
581,400,80,217
217,300,80,283
638,200,80,119
8,400,40,228
229,300,80,203
266,600,20,978
686,700,25,1137
290,500,20,834
458,700,40,737
49,300,50,236
424,700,30,840
613,700,20,1257
568,600,50,523
378,300,30,554
348,500,30,613
541,600,40,577
91,400,25,541
333,600,30,710
394,300,30,427
258,600,20,1237
622,400,50,313
596,700,20,1436
504,600,25,860
267,600,20,980
293,500,20,916
593,400,80,246
27,500,40,322
60,500,80,363
469,700,40,644
223,300,80,223
586,400,80,253
545,600,40,527
530,400,20,600
183,300,20,643
660,200,20,306
88,400,25,590
443,300,25,434
250,200,30,183
36,500,40,403
240,200,30,203
10,400,40,241
212,700,80,551
656,200,20,298
434,700,30,905
706,300,40,297
311,700,50,691
505,600,25,880
338,500,30,526
26,500,40,300
485,400,30,554
625,400,50,300
170,500,25,856
664,200,20,309
450,300,25,474
429,700,30,914
226,300,80,256
463,700,40,603
23,500,40,313
100,200,25,343
520,400,20,637
459,700,40,610
87,400,25,506
6,400,40,252
350,500,30,540
169,500,25,940
74,500,80,373
546,600,40,559
441,300,25,410
